index,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nodosilineales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Aegeococcocales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;__,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Prochlorothrichales,k__Bacteria;p__Cyanobacteriota;c__Vampirivibrionia;o__Caenarcaniphilales,k__Bacteria;p__Cyanobacteriota;__;__,k__Bacteria;p__Cyanobacteriota;c__Sericytochromatia;o__,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oculatellales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Desertifilales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Leptolyngbyales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcidiopsidales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Coleofasciculales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Acaryochloridales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Spirulinales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales,SampleType,TurtleID,AnimalName,AgeOld,Age,CCL,CCW,AdmissionDate,SamplingDate,RecoveryCentre,State,Condition,lon,lat
V6-negctrl,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,negctrl,negctrl,negctrl,negctrl,negctrl,,,negctrl,,negctrl,negctrl,negctrl,,
V6-TB159,13547.0,477.0,0.0,1358.0,1877.0,40.0,70.0,1230.0,195.0,5.0,21.0,458.0,25.0,394.0,0.0,0.0,0.0,0.0,114.0,carapace,ID093,Ella Ravka,sub-adult,sub-adult,62.0,58.0,30.6.2020,30.6.2020,Aquarium Pula,WILD,injured,15.23235,44.11306
V6-TB163,4699.0,10.0,0.0,0.0,216.0,0.0,0.0,314.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carapace,ID094,Huanita,sub-adult,sub-adult,68.0,66.0,13.3.2020,20.3.2020,Aquarium Pula,DURING,plastic,16.90186,42.77756
V6-TB167,0.0,0.0,0.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carapace,ID096,Maro,sub-adult,sub-adult,67.0,63.2,25.6.2020,21.7.2020,Aquarium Pula,DURING,injured,17.14156,42.95932
V6-TB175,37873.0,29.0,0.0,2597.0,2174.0,56421.0,129.0,27354.0,53.0,363.0,1126.0,45.0,11.0,0.0,0.0,0.0,0.0,21.0,13.0,carapace,ID098,Maksimus,sub-adult,juvenile,45.2,44.2,26.7.2020,28.7.2020,Aquarium Pula,DURING,floating,13.89056,44.75832
V6-TB177,120652.0,3143.0,103.0,37400.0,9722.0,580.0,862.0,6447.0,301.0,1334.0,5.0,333.0,0.0,113.0,15.0,0.0,304.0,24.0,69.0,carapace,ID099,Spela,adult,sub-adult,68.0,67.0,30.7.2020,3.8.2020,Aquarium Pula,DURING,floating,13.75431,44.98378
V6-TB181,75508.0,83.0,0.0,161.0,19261.0,65986.0,12.0,23474.0,17.0,229.0,0.0,758.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,carapace,ID100,CC_VIS_2001,sub-adult,juvenile,42.0,37.0,,29.6.2020,Blue World Institute,WILD,good,16.03579,42.90401
V6-TB183,113107.0,39.0,0.0,562.0,17778.0,57702.0,27.0,5115.0,85.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,39.0,carapace,ID101,CC_VIS_2002,juvenile,juvenile,31.0,29.0,,11.8.2020,Blue World Institute,WILD,good,15.85258,42.9546
V6-TB185,78802.0,102.0,0.0,530.0,10947.0,46498.0,19.0,23589.0,1716.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,6.0,carapace,ID102,CC_VIS_2003,juvenile,juvenile,31.0,28.0,,20.8.2020,Blue World Institute,WILD,good,16.09005,42.9536
V6-TB189,13079.0,0.0,0.0,311.0,1590.0,9.0,375.0,21.0,37.0,183.0,0.0,0.0,0.0,539.0,0.0,0.0,201.0,20.0,212.0,carapace,ID104,Valbiska,juvenile,juvenile,30.0,27.5,9.10.2020,5.11.2020,Blue World Institute,DURING,injured,14.57858,45.02314
V6-TB191,8777.0,13.0,0.0,124.0,648.0,1622.0,160.0,396.0,6261.0,0.0,789.0,77.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,carapace,ID105,FS94,adult,sub-adult,67.5,66.0,28.11.2020,30.11.2020,Blue World Institute,WILD,good,14.28518,44.50634
V6-TB195,13965.0,0.0,0.0,2203.0,630.0,8441.0,624.0,602.0,37.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,497.0,0.0,carapace,ID107,FS35,sub-adult,juvenile,45.0,41.0,28.11.2020,10.12.2020,Blue World Institute,DURING,good,14.28518,44.50634
V6-TB197,14118.0,28.0,0.0,2058.0,641.0,1411.0,244.0,743.0,262.0,0.0,45.0,200.0,9.0,569.0,0.0,0.0,0.0,0.0,0.0,carapace,ID108,FS25,adult,adult,70.0,67.0,18.12.2020,19.12.2020,Blue World Institute,WILD,good,14.28518,44.50634
V6-TB199,7786.0,62.0,0.0,54.0,73.0,1711.0,76.0,235.0,80.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,carapace,ID109,FS60,adult,adult,73.0,68.0,18.12.2020,19.12.2020,Blue World Institute,WILD,good,14.28518,44.50634
V6-TB201,345977.0,85.0,0.0,2962.0,9278.0,731.0,0.0,51893.0,31.0,50.0,0.0,1832.0,0.0,14.0,0.0,0.0,0.0,0.0,145.0,carapace,ID110,APOX,juvenile,juvenile,36.0,34.0,12.1.2021,14.1.2021,Blue World Institute,DURING,injured,14.44744,44.54678
