"Salileptolyngbya","Pseudosynechococcus","Aegeococcus","Xenococcus","unclassified_Cyanophyceae","Nodosilineaceae_XXX","Prochlorotrichaceae_X","unclassified_Caenarcaniphilales","Leptothoe","unclassified_Cyanobacteriota","Pleurocapsa","unclassified_Sericytochromatia","Metis","Prochlorococcaceae_XX","Rhodoploca","Desertifilaceae_X","Heteroleibleinia","Aliterella","Geminocystis","Myxosarcina","unclassified_Nodosilineales","Neolyngbya","Geminobacterium","unclassified_Chroococcales","unclassified_Nodosilineaceae","Romeriopsis","Sinocapsa","Cymatolege","Caldora","Acaryochloris","Picosynechococcus","Zarconia","Petrachloros","Thalassoporum","unclassified_Pleurocapsaceae","Solentia","Spirulina","unclassified_Microcoleaceae","Odorella","unclassified_Prochlorococcaceae","Chlorogloea","Okeania","Baaleninema","unclassified_Nostocales","Rivularia","Crocosphaera","Hyella","Parasynechococcus","Inmanicoccus","Geitleribactron","unclassified_Oculatellaceae","Pseudanabaenaceae_X","Chroococcidiopsidaceae_XX","Nodosilineaceae_XXXX","Kastovskya","Mastigocoleus","Rippkaea","Sirenicapillaria","Regnicoccus","Affixifilum","Euryhalinema","Capilliphycus","unclassified_Rivulariaceae","unclassified_Aphanizomenonaceae","Nodosilineaceae_X","Macrochaete","SampleType","TurtleID","AnimalName","AgeOld","Age","CCL","CCW","AdmissionDate","SamplingDate","RecoveryCentre","State","Condition","lon","lat"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961783439490446,0,0,0,0,0,0,0.0382165605095541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"negctrl","negctrl","negctrl","negctrl","negctrl",NA,NA,"negctrl","","negctrl","negctrl","negctrl",NA,NA
0.0961586997122811,0,0,0.0200898490737469,0.0947453434960376,0,0.00201908030891929,0.00353339054060875,0.0370501236686689,0.0620867194992681,0.000807632123567715,0.00984301650598153,0.000252385038614911,0.00489626974912927,0.258240371510777,0.00106001716218263,0.022613699459896,0.00126192519307455,0,0.00772298218161627,0.0414921003482914,0.000504770077229822,0.00151431023168947,0.000151431023168947,0.133814547473626,0.000504770077229822,0,0.116652364847812,0,0,0.00181717227802736,0.00217051133208823,0,0,0.00530008581091313,0,0,0,0.0267023370854576,0.00610771793448084,0.0036848215637777,0.014083085154712,0,0.00540103982635909,0,0,0.000757155115844733,0,0.000605724092675786,0,0,0,0,0,0,0,0,0.00121144818535157,0.0124678209075766,0.00116097117762859,0,0.000757155115844733,0.000353339054060875,0,0.000403816061783857,0,"carapace","ID093","Ella Ravka","sub-adult","sub-adult",62,58,"30.6.2020","30.6.2020","Aquarium Pula","WILD","injured",15.23235,44.11306
0.389152285226626,0,0,0,0.040963398444908,0,0,0,0.0802199886212782,0.0595486440356533,0,0.0064479423478096,0,0,0.0895126114166509,0,0,0,0,0,0,0,0,0,0.332258676275365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018964536317087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID094","Huanita","sub-adult","sub-adult",68,66,"13.3.2020","20.3.2020","Aquarium Pula","DURING","plastic",16.90186,42.77756
0,0,0,0,0.0280373831775701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654205607476635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121495327102804,0,0,0,0.785046728971963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID096","Maro","sub-adult","sub-adult",67,63.2,"25.6.2020","21.7.2020","Aquarium Pula","DURING","injured",17.14156,42.95932
6.23981155769096e-05,0,0,0.00157555241831697,0.0169566879080252,0,0.440070509870602,0.00100616961367767,0.0584670342955643,0.213354756686348,0,0.000413387515697026,0.00283131449430227,0,0.200726938046471,0.00878253476745002,0.000350989400120116,8.57974089182507e-05,0,0.0110132673993245,0.00177834629394192,0,0,0.000288591284543207,0.00581862427754682,0,0,0.0285471378764361,0,0,0,0,0,0,0,0.00029639104899032,0.000163795053389388,0,0,0.000140395760048047,0.00708218611797924,0,0,3.11990577884548e-05,0,0,0,8.57974089182507e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01978800240233e-05,"carapace","ID098","Maksimus","sub-adult","juvenile",45.2,44.2,"26.7.2020","28.7.2020","Aquarium Pula","DURING","floating",13.89056,44.75832
0.143434376843231,0,0.000567784043614634,0.00344529152678783,0.0535921987574901,0.000876482164414824,0.00319723053685911,0.00475174607374578,0.220917605164079,0.0355388711571218,0.00200102531875837,0.00165925239930102,0.00735363023477595,0.0170169839091105,0.165500780014002,2.75623322143026e-05,0.00159310280198669,0,0,0.000639446107371821,0.00804820100657637,0,0.000259085922814445,0.0185053498486828,0.115706670635643,0,0,0.0106059854360637,0,0,0.00111903068790069,0,0,0.0016757897986296,0.0737347511397024,0.00221049904358707,0.000132299194628653,0,0.102972873152635,0.000121274261742932,0,0.000214986191271561,0,0.000170886459728676,3.30747986571632e-05,2.20498657714421e-05,0.0012568423489722,0,0,0.000242548523485863,0,0,0,0,8.26869966429079e-05,0,0,0,0.000187423859057258,0,0,0.000407922516771679,0,0.000176398926171537,0,0,"carapace","ID099","Spela","adult","sub-adult",68,67,"30.7.2020","3.8.2020","Aquarium Pula","DURING","floating",13.75431,44.98378
0.00472710024470964,0,0,0,0.103818332740425,0,0.355669825253603,6.46809611590828e-05,0.00374071558703362,0.126526740187359,0,9.1631361642034e-05,0.00123432834211916,0,0.263283852398047,0,0.0040856807132154,0,0,0.000215603203863609,0.00289986309196555,0,0,0,0.108793376669577,0,0,0.0235492599420027,0,0,0.000539008009659024,0,0,0,0.000113191682028395,0,0.000199432963573839,0,0,0.00044737664801699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID100","CC_VIS_2001","sub-adult","juvenile",42,37,"","29.6.2020","Blue World Institute","WILD","good",16.03579,42.90401
0.0103149505077773,0,0,0,0.0914153490165831,4.62784419591207e-05,0.296706517547243,0.000138835325877362,0.00600077130736599,0.0263015811801003,0,0.000437074174058362,0,0,0.505504563568582,0,0,0,0,0.000123409178557655,0.00145005784805245,0,0,0,0.0569841881989973,0,2.57102455328448e-05,0.00130093842396195,0,0,0,0,0,0,0,0.0027664224193341,8.22727857051035e-05,0,0,0.00020053991515619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020053991515619,0,0,"carapace","ID101","CC_VIS_2002","juvenile","juvenile",31,29,"","11.8.2020","Blue World Institute","WILD","good",15.85258,42.9546
0.00239986708428456,0,0,0.000116916601542068,0.0673624230042644,4.30745374102357e-05,0.286125691500163,0.000116916601542068,0.00103994240318998,0.14515503756715,0,0.0105594151708521,0.00107070992991157,0,0.374810010522494,0,0,0,0,0.00225833646136522,0.00254139770720391,0,0,0,0.09136109384711,0,0,0.0127131420413639,0,0,0,0,0,0,0,0.000849183737516076,0.000775341673384243,0,0,0.000627657545120578,3.69210320659163e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69210320659163e-05,0,0,0,0,0,0,0,0,0,0,"carapace","ID102","CC_VIS_2003","juvenile","juvenile",31,28,"","20.8.2020","Blue World Institute","WILD","good",16.09005,42.9536
0.0349279121674609,0,0,0,0.0959160282318876,0.00760089280328166,0.000542920914520118,0.0226217047716716,0.0688303070519394,0.00126681546721361,0,0.00223200820413826,0.0110393919285757,0,0.614164203414369,0,0,0,0,0.000844543644809073,0.00271460457260059,0.00802316462568619,0,0.00289557821077396,0.0515774868794112,0,0,0.00741991916510828,0,0,0.00548953369125897,0.0169511974422392,0,0.012125233757616,0.00180973638173373,0.00772154189539724,0.00120649092115582,0.00223200820413826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120649092115582,0,0,0,0,0,0.00446401640827653,0.000542920914520118,0.000844543644809073,0.0127888037642517,0,0,0,"carapace","ID104","Valbiska","juvenile","juvenile",30,27.5,"9.10.2020","5.11.2020","Blue World Institute","DURING","injured",14.57858,45.02314
