"index","RecoveryCentre","lat","Condition","CCL","Age","AnimalName","AdmissionDate","State","SampleType","SamplingDate","AgeOld","CCW","lon","TurtleID","Cymatolege","Leptothoe","Myxosarcina","Odorella","Picosynechococcus","Prochlorotrichaceae_X","Rhodoploca","Salileptolyngbya","other","unclassified_Cyanobacteriota","unclassified_Cyanophyceae","unclassified_Nodosilineaceae","unclassified_Pleurocapsaceae"
"TB159","Aquarium Pula",44.11306,"injured",62,"sub-adult","Ella Ravka","30.6.2020","WILD","carapace","30.6.2020","sub-adult",58,15.23235,"ID093",2311,734,153,529,36,40,5116,1905,3124,1230,1877,2651,105
"TB163","Aquarium Pula",42.77756,"plastic",68,"sub-adult","Huanita","13.3.2020","DURING","carapace","20.3.2020","sub-adult",66,16.90186,"ID094",0,423,0,0,0,0,472,2052,44,314,216,1752,0
"TB167","Aquarium Pula",42.95932,"injured",67,"sub-adult","Maro","25.6.2020","DURING","carapace","21.7.2020","sub-adult",63.2,17.14156,"ID096",0,0,7,84,0,0,0,0,0,0,3,0,13
"TB175","Aquarium Pula",44.75832,"floating",45.2,"juvenile","Maksimus","26.7.2020","DURING","carapace","28.7.2020","sub-adult",44.2,13.89056,"ID098",3660,7496,1412,0,0,56421,25735,8,3203,27354,2174,746,0
"TB177","Aquarium Pula",44.98378,"floating",68,"sub-adult","Spela","30.7.2020","DURING","carapace","3.8.2020","adult",67,13.75431,"ID099",1924,40076,116,18680,203,580,30023,26020,13250,6447,9722,20990,13376
"TB181","Blue World Institute",42.90401,"good",42,"juvenile","CC_VIS_2001","","WILD","carapace","29.6.2020","sub-adult",37,16.03579,"ID100",4369,694,40,0,100,65986,48846,877,1674,23474,19261,20184,21
"TB183","Blue World Institute",42.9546,"good",31,"juvenile","CC_VIS_2002","","WILD","carapace","11.8.2020","juvenile",29,15.85258,"ID101",253,1167,24,0,0,57702,98308,2006,1040,5115,17778,11082,0
"TB185","Blue World Institute",42.9536,"good",31,"juvenile","CC_VIS_2003","","WILD","carapace","20.8.2020","juvenile",28,16.09005,"ID102",2066,169,367,0,0,46498,60910,390,2726,23589,10947,14847,0
"TB189","Blue World Institute",45.02314,"injured",30,"juvenile","Valbiska","9.10.2020","DURING","carapace","5.11.2020","juvenile",27.5,14.57858,"ID104",123,1141,14,0,91,9,10181,579,1943,21,1590,855,30
"TB191","Blue World Institute",44.50634,"good",67.5,"sub-adult","FS94","28.11.2020","WILD","carapace","30.11.2020","adult",66,14.28518,"ID105",136,325,11,84,24,1622,3924,2010,7315,396,648,2382,0
