SampleID	SampleType	TurtleID	AnimalName	Age	CCL	CCW	AdmissionDate	SamplingDate	RecoveryCentre	State	Condition
#q2:types					numeric	numeric	categorical				
TB159	carapace	ID093	Ella Ravka	sub-adult	62	58	30.06.2020	30.06.2020	Aquarium Pula	WILD	injured
TB163	carapace	ID094	Huanita	adult	68	66	13.03.2020	20.03.2020	Aquarium Pula	DURING	plastic
TB167	carapace	ID096	Maro	adult	67	63.2	25.06.2020	21.07.2020	Aquarium Pula	DURING	injured
TB175	carapace	ID098	Maksimus	sub-adult	45.2	44.2	26.07.2020	28.07.2020	Aquarium Pula	DURING	floating
TB177	carapace	ID099	Spela	adult	68	67	30.07.2020	03.08.2020	Aquarium Pula	DURING	floating
TB181	carapace	ID100	CC_VIS_2001	sub-adult	42	37		29.06.2020	Blue World Institute	WILD	good
TB183	carapace	ID101	CC_VIS_2002	juvenile	31	29		11.08.2020	Blue World Institute	WILD	good
TB185	carapace	ID102	CC_VIS_2003	juvenile	31	28		20.08.2020	Blue World Institute	WILD	good
TB189	carapace	ID104	Valbiska	juvenile	30	27.5	09.10.2020	05.11.2020	Blue World Institute	DURING	injured
TB191	carapace	ID105	FS94	adult	67.5	66	28.11.2020	30.11.2020	Blue World Institute	WILD	good
TB195	carapace	ID107	FS35	sub-adult	45	41	28.11.2020	10.12.2020	Blue World Institute	DURING	good
TB197	carapace	ID108	FS25	adult	70	67	18.12.2020	19.12.2020	Blue World Institute	WILD	good
TB199	carapace	ID109	FS60	adult	73	68	18.12.2020	19.12.2020	Blue World Institute	WILD	good
TB201	carapace	ID110	APOX	juvenile	36	34	12.01.2021	14.01.2021	Blue World Institute	DURING	injured
TB203	carapace	ID111	CC_LOSINJ_2102	sub-adult	55	53.5	23.01.2021	25.01.2021	Blue World Institute	DURING	injured
TB205	carapace	ID112	ZLATA	juvenile	35.5	33	30.01.2021	03.02.2021	Blue World Institute	DURING	stranded
TB207	carapace	ID113	NOEMI	sub-adult	40.5	38	14.02.2021	16.02.2021	Blue World Institute	DURING	injured
TB209	carapace	ID114	SANJIN	juvenile	32	29	15.02.2021	16.02.2021	Blue World Institute	DURING	injured
TB211	carapace	ID115	CC_LOSINJ_2106	sub-adult	40	38	07.03.2021	08.03.2021 	Blue World Institute	N/A	injured
TB213	carapace	ID116	NATANAEL	juvenile	33	29	09.03.2021	10.03.2021 	Blue World Institute	DURING	weak
TB215	carapace	ID117	KARLO ALBANO	adult	73	73	19.03.2021	25.03.2021	Aquarium Pula	BEFORE	floating
TB217	carapace	ID118	OLIVER RAUL	juvenile	26	24.2	20.04.2021	23.04.2021	Aquarium Pula	BEFORE	injured
TB219	carapace	ID119	MARTIN	juvenile	37.8	34.8	21.04.2021	23.04.2021	Aquarium Pula	BEFORE	injured
TB221	carapace	ID120	CC_LOSINJ_2112	juvenile	31	28	23.05.2021	25.05.2021	Blue World Institute	DURING	floating
TB223	carapace	ID121	BOVA	adult	70	64	05.06.2021	08.06.2021	Blue World Institute	DURING	injured
TB227	carapace	ID123	CALIMERO	sub-adult	52	52	01.04.2021	06.04.2021	Blue World Institute	DURING	injured
TB229	carapace	ID124	MARIJANA	juvenile	26	23	05.04.2021	06.04.2021	Blue World Institute	DURING	floating
TB231	carapace	ID125	CC_LOSINJ_2111	juvenile	27	25.5	20.04.2021	21.04.2021	Blue World Institute	from deceased	floating
TB217P	pool	pool	pool	pool			pool		pool	pool	pool
TB219P	pool	pool	pool	pool			pool		pool	pool	pool
VRS	rocks	rocks	rocks	rocks			rocks		rocks	rocks	rocks
negctrl	negctrl	negctrl	negctrl	negctrl			negctrl		negctrl	negctrl	negctrl
